Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,D
Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,B
Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,D
Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C
Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C
Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,D
Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,C
Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,B
Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,A
Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,A
Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,B
Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,D
Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D
Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,D
Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,D
Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,C
Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,D
Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,D
Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C
Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,A
Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,C
Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,B
Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B
Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,D
Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,D
Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,A
Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C
Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,A
Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C
Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,A
Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,C
Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D
Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B
Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,A
Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D
Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D
Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B
Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,A
Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,C
Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,C
Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B
Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C
Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,A
Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,D
Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C
Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,A
Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,A
Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C
Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B
Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,C
Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D
Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,C
Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,C
Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B
Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C
Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,C
Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,A
Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,C
Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,C
Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,C
Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D
Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B
Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,C
Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B
Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C
Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,B
Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B
Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,C
Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C
Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,D
Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,D
Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,D
Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,A
Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,C
Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C
Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,A
Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D
Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B
Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B
Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,C
Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,D
Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C
Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,A
Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,A
Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,B
Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,A
Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B
